省份,城市,确诊,疑似,死亡,治愈,,,,,,,,
四川省,德阳,18,-,0,18,,,,,,,,
四川省,遂宁,17,-,0,17,,,,,,,,
四川省,攀枝花,16,-,0,16,,,,,,,,
四川省,凉山州,13,-,0,13,,,,,,,,
四川省,宜宾,12,-,0,12,,,,,,,,
四川省,自贡,9,-,0,9,,,,,,,,
四川省,雅安,8,-,0,7,,,,,,,,
四川省,眉山,8,-,0,8,,,,,,,,
四川省,广元,6,-,0,6,,,,,,,,
四川省,资阳,4,-,0,4,,,,,,,,
四川省,乐山,3,-,0,3,,,,,,,,
四川省,阿坝州,1,-,0,1,,,,,,,,
重庆市,万州区,118,-,4,114,,,,,,,,
重庆市,江北区,28,-,0,28,,,,,,,,
重庆市,云阳县,25,-,0,25,,,,,,,,
重庆市,綦江区,23,-,0,23,,,,,,,,
重庆市,合川区,23,-,0,23,,,,,,,,
重庆市,长寿区,22,-,0,22,,,,,,,,
重庆市,奉节县,22,-,0,22,,,,,,,,
重庆市,九龙坡区,21,-,1,20,,,,,,,,
重庆市,忠县,21,-,0,21,,,,,,,,
重庆市,开州区,21,-,1,20,,,,,,,,
重庆市,渝中区,20,-,0,20,,,,,,,,
重庆市,垫江县,20,-,0,20,,,,,,,,
重庆市,潼南区,18,-,0,18,,,,,,,,
重庆市,渝北区,17,-,0,17,,,,,,,,
重庆市,两江新区,17,-,0,17,,,,,,,,
重庆市,南岸区,15,-,0,15,,,,,,,,
重庆市,石柱县,15,-,0,15,,,,,,,,
重庆市,巫溪县,14,-,0,14,,,,,,,,
重庆市,大足区,14,-,0,14,,,,,,,,
重庆市,巫山县,10,-,0,10,,,,,,,,
重庆市,丰都县,10,-,0,10,,,,,,,,
重庆市,铜梁区,10,-,0,10,,,,,,,,
重庆市,沙坪坝区,9,-,0,9,,,,,,,,
重庆市,荣昌区,9,-,0,9,,,,,,,,
重庆市,璧山区,9,-,0,9,,,,,,,,
重庆市,大渡口区,7,-,0,7,,,,,,,,
重庆市,巴南区,6,-,0,6,,,,,,,,
重庆市,境外输入,6,-,0,3,,,,,,,,
重庆市,涪陵区,5,-,0,5,,,,,,,,
重庆市,永川区,5,-,0,5,,,,,,,,
重庆市,江津区,4,-,0,4,,,,,,,,
重庆市,高新区,4,-,0,4,,,,,,,,
重庆市,梁平区,4,-,0,4,,,,,,,,
重庆市,黔江区,2,-,0,2,,,,,,,,
重庆市,彭水县,2,-,0,2,,,,,,,,
重庆市,城口县,2,-,0,2,,,,,,,,
重庆市,万盛经开区,1,-,0,1,,,,,,,,
重庆市,酉阳县,1,-,0,1,,,,,,,,
重庆市,秀山县,1,-,0,1,,,,,,,,
重庆市,武隆区,1,-,0,1,,,,,,,,
中国台湾,,447,-,7,435,,,,,,,,
福建省,福州,72,-,1,71,,,,,,,,
福建省,境外输入,67,-,0,62,,,,,,,,
福建省,莆田,56,-,0,56,,,,,,,,
福建省,泉州,47,-,0,47,,,,,,,,
福建省,厦门,35,-,0,35,,,,,,,,
福建省,宁德,26,-,0,26,,,,,,,,
福建省,漳州,20,-,0,20,,,,,,,,
福建省,南平,20,-,0,20,,,,,,,,
福建省,三明,14,-,0,14,,,,,,,,
福建省,龙岩,6,-,0,6,,,,,,,,
河北省,唐山,58,-,1,57,,,,,,,,
河北省,沧州,49,-,3,45,,,,,,,,
河北省,保定,48,-,0,34,,,,,,,,
河北省,张家口,43,-,0,41,,,,,,,,
